ZANSKAR_ID,TOKEN,CATEGORY,EXCH_TICKER,ZANSKAR_NAME,DERIVATIVE_TYPE,EXPIRY_DATE,EXPIRY_EXCHANGE,EXPIRY_TAG,UNDERLYING_ASSET,STREAM_ID,STRIKE_PRICE,LOT_SIZE,TICK_SIZE,PREV_HIGH_PRICE_RANGE,PREV_LOW_PRICE_RANGE,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_LAST,PREV_SETTLEMENT,PREV_OPEN_INTEREST,UNDERLYING_PREV_CLOSE,ISIN,SERIES
86,101798,STOCKS,ASHIANA,STOCK_ASHIANA_MSE.CM.EQ,STOCK,N/A,0,N/A,ASHIANA,1,,1,5,35945.0,23965.0,0.0,0.0,295.55,0.0,295.55,0,293.8,INE365D01021,EQ
87,101800,STOCKS,ASHOKA,STOCK_ASHOKA_MSE.CM.EQ,STOCK,N/A,0,N/A,ASHOKA,1,,1,5,25780.0,17190.0,0.0,0.0,168.75,0.0,168.75,0,165.05,INE442H01029,EQ
88,101802,STOCKS,ASHOKLEY,STOCK_ASHOKLEY_MSE.CM.EQ,STOCK,N/A,0,N/A,ASHOKLEY,1,,1,5,26385.0,21595.0,0.0,0.0,160.35,0.0,160.35,0,158.0,INE208A01029,EQ
89,101806,STOCKS,ASIANPAINT,STOCK_ASIANPAINT_MSE.CM.EQ,STOCK,N/A,0,N/A,ASIANPAINT,1,,1,5,248655.0,203445.0,0.0,0.0,2779.4,0.0,2779.4,0,2804.5,INE021A01026,EQ
90,101814,STOCKS,ASTRAL,STOCK_ASTRAL_MSE.CM.EQ,STOCK,N/A,0,N/A,ASTRAL,1,,1,5,165955.0,135785.0,0.0,0.0,1406.7,0.0,1406.7,0,1392.4,INE006I01046,EQ
91,101815,STOCKS,ASTRAMICRO,STOCK_ASTRAMICRO_MSE.CM.EQ,STOCK,N/A,0,N/A,ASTRAMICRO,1,,1,5,127890.0,85260.0,0.0,0.0,904.35,0.0,904.35,0,886.65,INE386C01029,EQ
92,101818,STOCKS,ASTRAZEN,STOCK_ASTRAZEN_MSE.CM.EQ,STOCK,N/A,0,N/A,ASTRAZEN,1,,1,5,960780.0,640520.0,0.0,0.0,9147.0,0.0,9147.0,0,9009.5,INE203A01020,EQ
93,101822,STOCKS,SUNDROP,STOCK_SUNDROP_MSE.CM.EQ,STOCK,N/A,0,N/A,SUNDROP,1,,1,5,107240.0,71500.0,0.0,0.0,719.3,0.0,719.3,0,723.25,INE209A01019,EQ
94,101824,STOCKS,ATLANTAA,STOCK_ATLANTAA_MSE.CM.EQ,STOCK,N/A,0,N/A,ATLANTAA,1,,1,5,3840.0,3480.0,0.0,0.0,40.85,0.0,40.85,0,40.95,INE285H01022,EQ
95,103384,STOCKS,ATLANTAA,STOCK_ATLANTAA_MSE.CM.BE,STOCK,N/A,0,N/A,ATLANTAA,1,,1,5,3320.0,3010.0,0.0,0.0,40.85,0.0,40.85,0,40.95,INE285H01022,BE
96,102755,STOCKS,J&KBANK,STOCK_J&KBANK_MSE.CM.EQ,STOCK,N/A,0,N/A,J&KBANK,1,,1,5,12060.0,8040.0,0.0,0.0,102.25,0.0,102.25,0,100.3,INE168A01041,EQ
97,101829,STOCKS,ATLASCYCLE,STOCK_ATLASCYCLE_MSE.CM.EQ,STOCK,N/A,0,N/A,ATLASCYCLE,1,,1,5,14200.0,12850.0,0.0,0.0,93.2,0.0,93.2,0,91.3,INE446A01025,EQ
98,107032,STOCKS,ATLASCYCLE,STOCK_ATLASCYCLE_MSE.CM.BE,STOCK,N/A,0,N/A,ATLASCYCLE,1,,1,5,9215.0,8345.0,0.0,0.0,93.2,0.0,93.2,0,91.3,INE446A01025,BE
99,101831,STOCKS,ATUL,STOCK_ATUL_MSE.CM.EQ,STOCK,N/A,0,N/A,ATUL,1,,1,5,855240.0,570160.0,0.0,0.0,5835.0,0.0,5835.0,0,5874.5,INE100A01010,EQ
100,101835,STOCKS,AUROPHARMA,STOCK_AUROPHARMA_MSE.CM.EQ,STOCK,N/A,0,N/A,AUROPHARMA,1,,1,5,129800.0,106200.0,0.0,0.0,1172.2,0.0,1172.2,0,1172.6,INE406A01037,EQ
101,101837,STOCKS,AUTOAXLES,STOCK_AUTOAXLES_MSE.CM.EQ,STOCK,N/A,0,N/A,AUTOAXLES,1,,1,5,207370.0,138250.0,0.0,0.0,1838.9,0.0,1838.9,0,1781.8,INE449A01011,EQ
102,101839,STOCKS,AUTOIND,STOCK_AUTOIND_MSE.CM.EQ,STOCK,N/A,0,N/A,AUTOIND,1,,1,5,10810.0,7210.0,0.0,0.0,72.65,0.0,72.65,0,68.8,INE718H01014,EQ
103,107286,STOCKS,AUTOIND,STOCK_AUTOIND_MSE.CM.BE,STOCK,N/A,0,N/A,AUTOIND,1,,1,5,11930.0,7960.0,0.0,0.0,72.65,0.0,72.65,0,68.8,INE718H01014,BE
