TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2026-01-06,2026-01-06,CM,MSE,STK,,,OSWALPUMPS,EQ,,,,,,0.00,0.00,0.00,505.25,0.00,503.35,,505.25,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OSWALSEEDS,EQ,,,,,,0.00,0.00,0.00,16.45,0.00,17.00,,16.45,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PACEAUTO,EQ,,,,,,0.00,0.00,0.00,10.00,0.00,10.00,,10.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PACEDIGITK,EQ,,,,,,0.00,0.00,0.00,196.90,0.00,189.75,,196.90,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PACIFICI,EQ,,,,,,0.00,0.00,0.00,148.80,0.00,153.80,,148.80,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PAGEIND,EQ,,,,,,0.00,0.00,0.00,35360.00,0.00,35550.00,,35360.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PAISALO,EQ,,,,,,0.00,0.00,0.00,35.40,0.00,35.50,,35.40,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PAKKA,EQ,,,,,,0.00,0.00,0.00,107.85,0.00,107.60,,107.85,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PALASHSECU,EQ,,,,,,0.00,0.00,0.00,107.30,0.00,107.20,,107.30,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PALCO,EQ,,,,,,0.00,0.00,0.00,152.00,0.00,146.90,,152.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PALMJEWELS,EQ,,,,,,0.00,0.00,0.00,16.95,0.00,17.40,,16.95,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PALREDTEC,EQ,,,,,,0.00,0.00,0.00,49.25,0.00,48.60,,49.25,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PANACEABIO,EQ,,,,,,0.00,0.00,0.00,366.30,0.00,369.90,,366.30,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PANACHE,EQ,,,,,,0.00,0.00,0.00,328.85,0.00,334.65,,328.85,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PANAENERG,EQ,,,,,,0.00,0.00,0.00,314.25,0.00,311.85,,314.25,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PANAMAPET,EQ,,,,,,0.00,0.00,0.00,301.00,0.00,299.35,,301.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PANCARBON,EQ,,,,,,0.00,0.00,0.00,491.15,0.00,491.55,,491.15,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PANCHMAHQ,EQ,,,,,,0.00,0.00,0.00,312.40,0.00,320.00,,312.40,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PANCHSHEEL,EQ,,,,,,0.00,0.00,0.00,127.70,0.00,125.55,,127.70,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PANJON,EQ,,,,,,0.00,0.00,0.00,17.00,0.00,17.70,,17.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PANORAMA,EQ,,,,,,0.00,0.00,0.00,37.75,0.00,37.10,,37.75,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PANSARI,BE,,,,,,0.00,0.00,0.00,305.00,0.00,305.60,,305.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PAR,EQ,,,,,,0.00,0.00,0.00,99.10,0.00,101.15,,99.10,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PARACABLES,EQ,,,,,,0.00,0.00,0.00,38.50,0.00,38.30,,38.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PARADEEP,EQ,,,,,,0.00,0.00,0.00,156.90,0.00,159.70,,156.90,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PARAGMILK,EQ,,,,,,0.00,0.00,0.00,294.90,0.00,300.10,,294.90,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,PARAGONF,EQ,,,,,,0.00,0.00,0.00,47.55,0.00,51.00,,47.55,,,0,0.00,0,F1,1,,,,,
